DCTPepD_ID,ClinicalTrials.gov_Identifier,Title,Condition_or_disease,Phase,Purpose
DCTPepD0010,NCT02854072,"A Prospective, Randomized, Open-label, Multicenter, Parallel Design, Phase III Study to Assess the Efficacy and Safety of GV1001 Concurrent With Gemcitabine/Capecitabine Versus Gemcitabine/Capecitabine Alone in Treating Locally Advanced and Metastatic Pancreatic Cancer Patients",Pancreatic Cancer,Phase 3,Treatment
DCTPepD0010,NCT00444782,"""Heptovax"" - A Phase II, Open-Label Trial Evaluating the Safety and Efficacy of GV1001 in Advanced Hepatocellular Carcinoma.","Carcinoma, Hepatocellular",Phase 2,Treatment
DCTPepD0010,NCT01247623,Trial With Telomerase Peptide Vaccine In Combination With Temozolomide in Patients With Advanced Malignant Melanoma,Malignant Melanoma,Phase 1/2,Treatment
DCTPepD0010,NCT04032067,"A Randomized, Active-Controlled, Double-Blind, Parallel Design, Multi-Center, Phase III Clinical Trial to Evaluate the Efficacy and Safety of GV1001 in Patients With Benign Prostatic Hyperplasia (BPH)",Benign Prostatic Hyperplasia (BPH),Phase 3,Treatment
DCTPepD0010,NCT03184467,"A Multi-center, Randomized, Double-blind, Placebo-controlled, Parallel Design, Prospective, Phase II Clinical Trial to Evaluate the Efficacy and Safety of Donepezil and Combined With GV1001 in Alzheimer Patients",Alzheimer Disease,Phase 2,Treatment
DCTPepD0011,NCT03643133,"Multicentre, Randomised, Phase 2 Trial of Mifamurtide Combined With Post-operative Chemotherapy for Newly Diagnosed High Risk Osteosarcoma Patients (Metastatic Osteosarcoma at Diagnosis or Localised Disease With Poor Histological Response)",Osteosarcoma,Phase 2,Treatment
DCTPepD0011,NCT00631631,Liposomal Muramyl Tripeptide Phosphatidyl Ethanolamine (L-MTP-PE) for High-risk Osteosarcoma,Osteosarcoma,,Treatment
DCTPepD0011,NCT02441309,A Mechanistic Study Of Mifamurtide (MTP-PE) In Patients With Metastatic And/Or Recurrent Osteosarcoma,Osteosarcoma,Phase 2,Treatment
DCTPepD0011,NCT01459484,ABCB1/P-glycoprotein Expression as Biologic Stratification Factor for Patients With Non Metastatic Osteosarcoma - Prospective Study (ISG/OS-2),Osteosarcoma,Phase 2,Treatment
DCTPepD0011,NCT04062721,Feasibility and Safety of Local Immunomodulation Combined With Radiofrequency Ablation for Unresectable Colorectal Liver Metastases: A Monocentric Phase I Trial,Unresectable Colorectal Liver Metastases,Phase 1,Treatment
DCTPepD0012,NCT01775553,Recapturing Disease Response: A Phase II Study of High Dose Carfilzomib in Patients With Relapsed or Refractory Multiple Myeloma Who Have Progressed on Standard Dose Carfilzomib,Relapse Multiple Myeloma; Refractory Multiple Myeloma,Phase 2,Treatment
DCTPepD0012,NCT02257476,A Phase I Study of Extended Infusion Carfilzomib on a Weekly Schedule in Patients With Advanced Solid Malignancies,Neoplasms; Malignancies,Phase 1,Treatment
DCTPepD0012,NCT02145403,Phase 1/2 Study of Carfilzomib for the Prevention of Relapse and Graft-versus-host Disease in Allogeneic Hematopoietic Cell Transplantation for High-risk Hematologic Malignancies,"Hematologic Malignancies
; Relapse; Graft-Versus-HostDisease",Phase 1/2,Treatment
DCTPepD0012,NCT02142530,Carfilzomib Plus Belinostat in Relapsed/Refractory Non-Hodgkin Lymphoma Subtypes: A Phase 1 Study,Non-Hodgkin Lymphoma; Diffuse Large B-cell Lymphoma; Mantle Cell Lymphoma; Follicular Lymphoma; Peripheral T-cell Lymphoma,Phase 1,Treatment
DCTPepD0012,NCT01926665,"Carfilzomib Consolidation Therapy After Autologous Stem Cell Transplantation (ASCT) for Patients With Mantle Cell (MCL), T-cell (TCL), and Diffuse B-Cell Lymphoma (DLBCL)",Lymphoma,Phase 1,Treatment
DCTPepD0013,NCT03972488,"A Phase III Multi-center, Randomized, Open-label Study to Evaluate the Efficacy and Safety of Lutathera in Patients With Grade 2 and Grade 3 Advanced GEP-NET",Gastro-enteropancreatic Neuroendocrine Tumor,Phase 3,Treatment
DCTPepD0013,NCT01456078,A Multicenter Phase II-Study Evaluating Efficacy and Safety of 177Lu-DOTA-TATE Based on Kidney-Dosimetry in Patients With Disseminated Neuroendocrine Tumors,Neuroendocrine Tumors; Liver Metastases,Phase 2,Treatment
DCTPepD0013,NCT03325816,Phase I/II Trial of Anti-PD-1 Checkpoint Inhibitor Nivolumab and 177Lu-DOTA0-Tyr3-Octreotate for Patients With Extensive-Stage Small Cell Lung Cancer,Small Cell Lung Cancer; Small Cell Lung Cancer Extensive Stage,Phase 1/2,Treatment
DCTPepD0013,NCT04750954,A Phase 1b Trial of M3814 (Peposertib) in Combination With Lutetium 177 Dotatate for Well-Differentiated Somatostatin Receptor-Positive Gastroenteropancreatic Neuroendocrine Tumors (GEP-NETs),Neuroendocrine Neoplasm,Phase 1,Treatment
DCTPepD0013,NCT03971461,"A Single Arm, Open-label, Multicenter Phase II Study of 177Lu-DOTATATE Radionuclide in Adults With Progressive or High-risk Meningioma",Meningioma,Phase 2,Treatment
DCTPepD0014,NCT00198263,An Open-Label Study Using the Medpulser® Electroporation System to Treat Head and Neck Cancer,Head and Neck Cancer,Phase 4,Treatment
DCTPepD0014,NCT03225781,A Clinical Trial Using Electrochemotherapy With Bleomycin for the Treatment of Non-metastatic Unresectable Pancreatic Cancer,Pancreatic Cancer,Not Applicable,Treatment
DCTPepD0014,NCT03628417,"Fázis II, randomizált, kettős Vak vizsgálat a bőr metasztázisok kezelésére kálcium elektroporációval",Cutaneous Melanoma,Not Applicable,Treatment
DCTPepD0014,NCT01872923,"Dose Escalating Study to Evaluate the Tolerability, Efficacy and Safety of Amphinex 0.125 mg/kg or Lower in Amphinex-based PCI of Bleomycin in Patients With Local Recurrence or Advanced/Metastatic, Cutaneous or Sub-cutaneous Malignancies.",Cutaneous or Sub-cutaneous Malignancies,Phase 1,Treatment
DCTPepD0014,NCT05395962,Electrochemotherapy With Carboplatinum Plus Bleomycin Versus Bleomycin Alone in Vulvar Cancer: the ElechtraPlatinum Study. A Randomized Controlled Trial,Vulvar Cancer,Phase 2,Treatment
DCTPepD0015,NCT01741155,A 2-Part Phase 2 Study of SPI-1620 in Combination With Docetaxel Versus Docetaxel Alone for Patients With Non Small-cell Lung Cancer After Failure of First-line Platinum-based Chemotherapy,Non Small Cell Lung Cancer (NSCLC),Phase 2,Treatment
DCTPepD0015,NCT01773785,Phase II Study of SPI-1620 in Combination With Docetaxel as a Second-Line Treatment for Patients With Advanced Biliary Cancer,Biliary Cancer,Phase 2,Treatment
DCTPepD0015,NCT00613691,"A Phase I, Open-label, Ascending Dose Study of the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of the Endothelin B Agonist, SPI-1620, in Patients With Recurrent or Progressive Carcinoma",Carcinoma,Phase 1,Treatment
DCTPepD0016,NCT03059147,"A Phase I Study of SF1126, a Dual PI3 Kinase and Bromodomain Inhibitor, in Combination With Nivolumab in Patients With Advanced or Metastatic Hepatocellular Carcinoma and Child-Pugh A-B7 Cirrhosis",Advanced Hepatocellular Carcinoma,Phase 1,Treatment
DCTPepD0016,NCT02337309,Phase I Study of SF1126 for Patients With Relapsed or Refractory Neuroblastoma,Neuroblastoma,Phase 1,Treatment
DCTPepD0016,NCT02644122,"A Phase II Open Label Study of the PI3 Kinase (PI-3) Inhibitor, SF1126, in Patients With Recurrent or Progressive SCCHN and Mutations in PIK3CA Gene and/or PI-3 Kinase Pathway Genes",Metastatic Squamous Neck Cancer With Occult Primary Squamous Cell Carcinoma,Phase 2,Treatment
DCTPepD0016,NCT00907205,"A Phase I Open Label Safety, Pharmacokinetic and Pharmacodynamic Dose Escalation Study of SF1126, A PI3 Kinase (PI3K) Inhibitor, Given Twice Weekly By IV Infusion To Patients With Advanced or Metastatic Tumors",Advanced or Metastatic Solid Tumors; Cancer; Solid Cancers,Phase 1,Treatment
DCTPepD0017,NCT03129828,"Ibrutinib (Imbruvica®), Bortezomib (Velcade®) s.c., Rituximab, CHOP for the Treatment of Elderly Patients (Age 61-80 Years) With CD20+ Diffuse Large B-cell Lymphoma, IPI ≥ 2",Diffuse Large B Cell Lymphoma,Phase 1/2,Treatment
DCTPepD0017,NCT02356458,Combination of Ibrutinib and Bortezomib Followed by Ibrutinib Maintenance to Treat Patients With Relapsed and Refractory Mantle Cell Lymphoma; a Multicenter Phase I/II Trial.,Mantle Cell Lymphoma,Phase 1/2,Treatment
DCTPepD0017,NCT02613598,Phase I Dose Escalation Study to Determine the Maximum Tolerated Dose of the Combination of Ruxolitinib and Bortezomib in Patients With Relapsed or Refractory Lymphoma,"Hodgkin's Lymphoma; Lymphoma, Non-Hodgkin",Phase 1,Treatment
DCTPepD0017,NCT01736943,Phase II Trial of the Combination of Subcutaneous (SQ) Bortezomib and Pegylated Liposomal Doxorubicin (PLD or Doxil or LipoDox) for the Treatment of Patients With Relapsed/Refractory Acute Myelogenous Leukemia (AML),Acute Myelogenous Leukemia,Phase 2,Treatment
DCTPepD0017,NCT03345303,Bortezomib in Treating Patients With Intrahepatic Cholangiocellular Carcinoma Featuring PTEN Deficiency,Intrahepatic Cholangiocarcinoma,Phase 3,Treatment
DCTPepD0018,NCT01394263,"Phase III, Open-Label Randomized, Parallel, Active-Control Study to Evaluate Efficacy and Safety of Histrelin Subdermal Implant in Patients With Metastatic Prostate Cancer",Prostate Cancer; Adenocarcinoma of the Prostate,Phase 3,Treatment
DCTPepD0018,NCT01574846,"Prospective, Multicentre, Non-interventional (Observational) Study of VANTAS® for the Treatment of Patients With Advanced Prostate Cancer.",Prostate Cancer,,Treatment
DCTPepD0018,NCT04513717,Parallel Phase III Randomized Trials for High Risk Prostate Cancer Evaluating De-Intensification for Lower Genomic Risk and Intensification of Concurrent Therapy for Higher Genomic Risk With Radiation (PREDICT-RT*),Metastatic Malignant Neoplasm in the Bone; Prostate Adenocarcinoma; Stage III Prostate Cancer AJCC v8; Stage IIIA Prostate Cancer AJCC v8; Stage IIIB Prostate Cancer AJCC v8; Stage IIIC Prostate Cancer AJCC v8; Stage IVA Prostate Cancer AJCC v8,Phase 3,Treatment
DCTPepD0018,NCT05050084,Parallel Phase III Randomized Trials of Genomic-Risk Stratified Unfavorable Intermediate Risk Prostate Cancer: De-Intensification and Intensification Clinical Trial Evaluation (GUIDANCE),Prostate Adenocarcinoma,Phase 3,Treatment
DCTPepD0018,NCT00779103,"Phase III, Open-Label Study to Evaluate Efficacy and Safety of Histrelin Subdermal Implant in Children With Central Precocious Puberty",Central Precocious Puberty,Phase 3,Treatment
DCTPepD0019,NCT03035032,A Phase IV Interventional Safety Study of ELIGARD® in Prostate Cancer Patients in Asia (ELIGANT),Prostate Cancer,Phase 4,Treatment
DCTPepD0019,NCT02319837,"A Phase 3, Randomized, Efficacy and Safety Study of Enzalutamide Plus Leuprolide, Enzalutamide Monotherapy, and Placebo Plus Leuprolide in Men With High-Risk Nonmetastatic Prostate Cancer Progressing After Definitive Therapy",Hormone Sensitive Prostate Cancer; Prostate Cancer; Cancer of the Prostate,Phase 3,Treatment
DCTPepD0019,NCT02508636,Phase II Trial of Definitive Radiotherapy With Leuprolide and Enzalutamide in High Risk Prostate Cancer,Prostatic Neoplasms; Pelvic Nodal,Phase 2,Treatment
DCTPepD0019,NCT00254397,Study of the Modulatory Activity of an LHRH-Agonist (Leuprolide) on Melanoma Peptide Vaccines as Adjuvant Therapy in Melanoma Patients,Melanoma,Phase 2,Treatment
DCTPepD0019,NCT00903162,Extended Endocrine Therapy for Premenopausal Women With Breast Cancer,Breast Cancer,Phase 2,Treatment
DCTPepD0020,NCT03903419,Feasibility Study for the Realization of 68Ga-PSMA PET-CT and 18F-FDOPA PET-CT for Identification of Early Recurrence in Patients Treated With Radiotherapy for Glioblastoma,Glioblastomas,Not Applicable,Diagnostic
DCTPepD0020,NCT03675451,PSMA Imaging of Localized Prostate Cancer,Prostate Cancer,Phase 2,Diagnostic
DCTPepD0020,NCT05214820,Clinical Assessment of the Therapeutic Potential of 177Lu-PSMA Endoradiotherapy for the Treatment of Upper Metastatic Gastric Cancers Using 68Ga-PSMA PET-based Dosimetry,Upper Digestive Tract Cancer,Phase 2,Diagnostic
DCTPepD0020,NCT02918357,Gallium-68 PSMA-11 PET in Patients With Biochemical Recurrence,Prostate Cancer,Phase 2/3,Diagnostic
DCTPepD0020,NCT02919111,Gallium-68 PSMA-11 PET in Intermediate to High-risk Preprostatectomy Patients,Prostate Cancer,Phase 2/3,Diagnostic
DCTPepD0021,NCT05143229,Phase I Trial Of Alpelisib Plus Sacituzumab Govitecan In Patients With Metastatic Or Locally Recurrent HER2-Negative Breast Cancer,Breast Cancer,Phase 1,Treatment
DCTPepD0021,NCT02058381,A Phase Ib Dose De-escalation Study of the Combination of Tamoxifen Plus Goserelin Acetate With Alpelisib (BYL719) or Buparlisib (BKM120) in Premenopausal Patients With Hormone Receptor-positive/HER2-negative Locally Advanced or Metastatic Breast Cancer,Pre-menopausal Breast Cancer; PI3K Pathway Inhibition,Phase 1,Treatment
DCTPepD0021,NCT04524000,"A Phase II Open-label, 2-Part, Multi-center Study of BYL719 (Alpelisib) in Combination With Fulvestrant for Men and Postmenopausal Women With PIK3CA Mutation Hormone Receptor (HR) Positive, HER2-negative, Advanced Breast Cancer Which Progressed on or After Aromatase Inhibitor (AI) Treatment in Japan",Advanced Breast Cancer,Phase 2,Treatment
DCTPepD0021,NCT04753203,"A Phase lb/ll, Open Label, Single Arm Study to Assess Efficacy and Safety of Alpelisib and Capecitabine in Patients With PIK3CA Mutant Metastatic Colorectal Cancer Who Failed Two Prior Standard Chemotherapies",Metastatic Colorectal Cancer; PIK3CA Gene Mutation,Phase 1/2,Treatment
DCTPepD0021,NCT04526470,Phase IB/II Study of Alpelisib in Combination With Paclitaxel in Patients With PIK3CA-altered Metastatic/Recurrent Gastric Cancer,Solid Tumor; Stomach Cancer,Phase 1/2,Treatment
DCTPepD0022,NCT00285701,Early Detection of Pre-malignant and Malignant Conditions in the Colon by Means of Fluorescence Endoscopy Using Local and Oral Sensitisation With Hexaminolevulinate (HAL) - a Dose Finding Study,Colorectal Cancer,Phase 1/2,Diagnostic
DCTPepD0022,NCT01256424,A Randomized Phase II Dose-finding Study of Hexaminolevulinate (HAL) Photodynamic Therapy (PDT) in Patients With Low/Moderate-grade Cervical Intraepithelial Neoplasia (CIN1 or 2),Cervical Intraepithelial Neoplasia,Phase 2,Treatment
DCTPepD0022,NCT00785694,Recurrence of Bladder Cancer After Transurethral Resection With Hexvix,Bladder Cancer,Phase 4,Diagnostic
DCTPepD0022,NCT00412971,"A Randomized, Comparative Phase III, 2-center Study of Hexvix Fluorescence Cystoscopy and Standard Cystoscopy in Patients With Non-invasive Bladder Cancer",Bladder Cancer,Phase 3,Diagnostic
DCTPepD0022,NCT01303991,A Phase I Feasibility Study of Hexvix Photodynamic Therapy in Patients With Intermediate or High-risk Bladder Cancer,Intermediate or High-risk Bladder Cancer,Phase 1,Treatment
DCTPepD0023,NCT04176393,"A Phase 1, Multicenter, Single-Arm Study Evaluating Pharmacokinetic, Pharmacodynamic, Safety, and Clinical Efficacy of Orally Administered Ivosidenib in Chinese Subjects With Relapsed or Refractory Acute Myeloid Leukemia With an IDH1 Mutation",Relapsed or Refractory Acute Myeloid Leukemia,Phase 1,Treatment
DCTPepD0023,NCT03564821,A Phase 1 Study of IDH1 Inhibition Using Ivosidenib as Maintenance Therapy for IDH1-mutant Myeloid Neoplasms Following Allogeneic Stem Cell Transplantation,IDH1 Mutation Myeloid Neoplasms,Phase 1,Treatment
DCTPepD0023,NCT04056910,Phase II Study of IDH1 Inhibitor Ivosidenib and Nivolumab in IDH1 Mutant Gliomas and Advanced Solid Tumors,Advanced Solid Tumor; IDH1 Mutation; Glioma,Phase 2,Treatment
DCTPepD0023,NCT02073994,"A Phase 1, Multicenter, Open-Label, Dose-Escalation and Expansion, Safety, Pharmacokinetic, Pharmacodynamic, and Clinical Activity Study of Orally Administered AG-120 in Subjects With Advanced Solid Tumors, Including Glioma, With an IDH1 Mutation",Cholangiocarcinoma; Chondrosarcoma; Glioma; Other Advanced Solid Tumors,Phase 1,Treatment
