DCTPep_ID,Cell_Line,Disease,Cancer_Classified,Assay,Activity,Testing_Time,Literature
DCTPep00010,Colon tumor cell (NCI),Colon tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00010,Lung tumor cell (NCI),Lung tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00010,Ovary tumor cell (NCI),Ovary tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00010,Prostate tumor cell (NCI),Prostate tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00010,Renal tumor cell (NCI),Renal tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00010,Skin tumor cell (NCI),Skin tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00010,Leukemia tumor cell (NCI),Leukemia tumor,Carcinoma,Not available,LC50=10-100 µM,Not available,1
DCTPep00011,Brain tumor cell (NCI),Brain tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00011,Breast tumor cell (NCI),Breast tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00011,Lung tumor cell (NCI),Lung tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00011,Ovary tumor cell (NCI),Ovary tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00011,Prostate tumor cell (NCI),Prostate tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00011,Renal tumor cell (NCI),Renal tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00011,Skin tumor cell (NCI),Skin tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00011,Colon tumor cell (NCI),Colon tumor,Carcinoma,Not available,LC50=10-100 µM,Not available,1
DCTPep00011,Leukemia tumor cell (NCI),Leukemia tumor,Carcinoma,Not available,LC50=10-100 µM,Not available,1
DCTPep00012,Jurkat E6.1,Childhood T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=16 µM,3 days,1
DCTPep00012,A549,Lung adenocarcinoma,Carcinoma,MTT assay,IC50=22 µM,3 days,1
DCTPep00012,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL14 positive; Chronic myeloid leukemia",Leukemia,MTT assay,IC50=28 µM,3 days,1
DCTPep00013,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL15 positive; Chronic myeloid leukemia",Leukemia,Trypan blue assay,26% Killing=30 µM,15 h,1
DCTPep00014,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL16 positive; Chronic myeloid leukemia",Leukemia,Trypan blue assay,12% Killing=30 µM,15 h,1
DCTPep00015,C8166,Adult T acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=15.3 µg/ml,48 h,1
DCTPep00015,BIU-87,Bladder carcinoma,Carcinoma,MTT assay,IC50=20.5 µg/ml,48 h,1
DCTPep00015,Molt-4,Adult T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=24.3 µg/ml,48 h,1
DCTPep00015,T24,Bladder carcinoma,Carcinoma,MTT assay,IC50=35.4 µg/ml,48 h,1
DCTPep00016,C8166,Adult T acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=11.4 µg/ml,48 h,1
DCTPep00016,T24,Bladder carcinoma,Carcinoma,MTT assay,IC50=18 µg/ml,48 h,1
DCTPep00016,Molt-4,Adult T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=25.2 µg/ml,48 h,1
DCTPep00016,BIU-87,Bladder carcinoma,Carcinoma,MTT assay,IC50=28 µg/ml,48 h,1
DCTPep00017,C8166,Adult T acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=24.2 µg/ml,48 h,1
DCTPep00017,Molt-4,Adult T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=35.4 µg/ml,48 h,1
DCTPep00017,BIU-87,Bladder carcinoma,Carcinoma,MTT assay,IC50>50 µg/ml,48 h,1
DCTPep00017,T24,Bladder carcinoma,Carcinoma,MTT assay,IC50>50 µg/ml,48 h,1
DCTPep00018,C8166,Adult T acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=34.4 µg/ml,48 h,1
DCTPep00018,BIU-87,Bladder carcinoma,Carcinoma,MTT assay,IC50>50 µg/ml,48 h,1
DCTPep00018,Molt-4,Adult T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50>50 µg/ml,48 h,1
DCTPep00018,T24,Bladder carcinoma,Carcinoma,MTT assay,IC50>50 µg/ml,48 h,1
DCTPep00019,A549,Lung adenocarcinoma,Carcinoma,MTT assay,33.2% Cytotoxicity=200 µg/ml,20h,1
DCTPep00019,ME-180,Human papillomavirus-related cervical squamous cell carcinoma; Squamous cell carcinoma of the cervix uteri,Carcinoma,MTT assay,33.2% Cytotoxicity=200 µg/ml,20h,1
DCTPep00020,ME-180,Human papillomavirus-related cervical squamous cell carcinoma; Squamous cell carcinoma of the cervix uteri,Carcinoma,MTT assay,100% Cytotoxicity=200 µg/ml,20h,1
DCTPep00020,A549,Lung adenocarcinoma,Carcinoma,MTT assay,99.7% Cytotoxicity=200 µg/ml,20h,1
DCTPep00021,A549,Lung adenocarcinoma,Carcinoma,MTT assay,81.5% Cytotoxicity=200 µg/ml,20h,1
DCTPep00021,ME-180,Human papillomavirus-related cervical squamous cell carcinoma; Squamous cell carcinoma of the cervix uteri,Carcinoma,MTT assay,81.5% Cytotoxicity=200 µg/ml,20h,1
DCTPep00022,"RCCs (A-498, Caki-2, 786-0, 769-P, ACHN, LE 9211-RCC, TW33, N43)",Renal Cell Carcinoma,Carcinoma,WST-1 assay ,"At higher concentrations than 25 μg/ml, HNPs-1, -2, and -3 exerted cytotoxic effects on all tested RCC lines in an in vitro serum-free culture system (at lower concentrations they stimulated cell grow",40 h,1
DCTPep00023,"RCCs (A-498, Caki-2, 786-0, 769-P, ACHN, LE 9211-RCC, TW33, N43)",Renal Cell Carcinoma,Carcinoma,WST-1 assay ,"At higher concentrations than 25 μg/ml, HNPs-1, -2, and -3 exerted cytotoxic effects on all tested RCC lines in an in vitro serum-free culture system (at lower concentrations they stimulated cell grow",40 h,1
DCTPep00024,"RCCs (A-498, Caki-2, 786-0, 769-P, ACHN, LE 9211-RCC, TW33, N43)",Renal Cell Carcinoma,Carcinoma,WST-1 assay ,"At higher concentrations than 25 μg/ml, HNPs-1, -2, and -3 exerted cytotoxic effects on all tested RCC lines in an in vitro serum-free culture system (at lower concentrations they stimulated cell grow",40 h,1
DCTPep00026,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,MTT assay,IC50=3.5 µM,3 days,1
DCTPep00026,Jurkat,Childhood T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=4 µM,3 days,1
DCTPep00026,MDA-MB-361,Breast adenocarcinoma,Carcinoma,MTT assay,IC50=8 µM,3 days,1
DCTPep00027,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,MTT assay,IC50=3 µM,3 days,1
DCTPep00027,MDA-MB-361,Breast adenocarcinoma,Carcinoma,MTT assay,IC50=3 µM,3 days,1
DCTPep00027,Jurkat,Childhood T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=9 µM,3 days,1
DCTPep00028,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,MTT assay,IC50=3 µM,3 days,1
DCTPep00028,MDA-MB-361,Breast adenocarcinoma,Carcinoma,MTT assay,IC50=4 µM,3 days,1
DCTPep00028,Jurkat,Childhood T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=7 µM,3 days,1
DCTPep00029,Jurkat,Childhood T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=12 µM,3 days,1
DCTPep00029,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,MTT assay,IC50=6 µM,3 days,1
DCTPep00029,MDA-MB-361,Breast adenocarcinoma,Carcinoma,MTT assay,IC50=9.5 µM,3 days,1
DCTPep00030,Jurkat,Childhood T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=11 µM,3 days,1
DCTPep00030,MDA-MB-361,Breast adenocarcinoma,Carcinoma,MTT assay,IC50=11 µM,3 days,1
DCTPep00030,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,MTT assay,IC50=7 µM,3 days,1
DCTPep00031,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,MTT assay,IC50=11 µM,3 days,1
DCTPep00031,Jurkat,Childhood T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=17 µM,3 days,1
DCTPep00031,MDA-MB-361,Breast adenocarcinoma,Carcinoma,MTT assay,IC50=17 µM,3 days,1
DCTPep00032,Jurkat,Childhood T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=23 µM,3 days,1
DCTPep00032,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,MTT assay,IC50=24 µM,3 days,1
DCTPep00032,MDA-MB-361,Breast adenocarcinoma,Carcinoma,MTT assay,IC50=32 µM,3 days,1
DCTPep00033,Jurkat,Childhood T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=100.0< µM,3 days,1
DCTPep00033,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,MTT assay,IC50=100.0< µM,3 days,1
DCTPep00033,MDA-MB-361,Breast adenocarcinoma,Carcinoma,MTT assay,IC50=100.0< µM,3 days,1
DCTPep00034,Jurkat,Childhood T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=4 µM,3 days,1
DCTPep00034,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,MTT assay,IC50=4.2 µM,3 days,1
DCTPep00034,MDA-MB-361,Breast adenocarcinoma,Carcinoma,MTT assay,IC50=5 µM,3 days,1
DCTPep00035,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,MTT assay,IC50=3 µM,3 days,1
DCTPep00035,MDA-MB-361,Breast adenocarcinoma,Carcinoma,MTT assay,IC50=5 µM,3 days,1
DCTPep00035,Jurkat,Childhood T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=6 µM,3 days,1
DCTPep00036,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,MTT assay,IC50=10 µM,3 days,1
DCTPep00036,Jurkat,Childhood T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=14 µM,3 days,1
DCTPep00036,MDA-MB-361,Breast adenocarcinoma,Carcinoma,MTT assay,IC50=17 µM,3 days,1
DCTPep00037,MDA-MB-361,Breast adenocarcinoma,Carcinoma,MTT assay,IC50=26 µM,3 days,1
DCTPep00037,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,MTT assay,IC50=31 µM,3 days,1
DCTPep00037,Jurkat,Childhood T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=32 µM,3 days,1
DCTPep00038,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,MTT assay,IC50=23 µM,3 days,1
DCTPep00038,Jurkat,Childhood T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=26 µM,3 days,1
DCTPep00038,MDA-MB-361,Breast adenocarcinoma,Carcinoma,MTT assay,IC50=38 µM,3 days,1
DCTPep00039,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,MTT assay,IC50=62 µM,3 days,1
DCTPep00039,Jurkat,Childhood T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=74 µM,3 days,1
DCTPep00039,MDA-MB-361,Breast adenocarcinoma,Carcinoma,MTT assay,IC50=79 µM,3 days,1
DCTPep00040,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,MTT assay,IC50=25 µM,3 days,1
DCTPep00040,Jurkat,Childhood T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=31 µM,3 days,1
DCTPep00040,MDA-MB-361,Breast adenocarcinoma,Carcinoma,MTT assay,IC50=54 µM,3 days,1
DCTPep00041,MDA-MB-361,Breast adenocarcinoma,Carcinoma,MTT assay,IC50=100 µM,3 days,1
DCTPep00041,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,MTT assay,IC50=67 µM,3 days,1
DCTPep00041,Jurkat,Childhood T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=81 µM,3 days,1
DCTPep00042,Jurkat,Childhood T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=21 µM,3 days,1
DCTPep00042,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,MTT assay,IC50=27 µM,3 days,1
DCTPep00042,MDA-MB-361,Breast adenocarcinoma,Carcinoma,MTT assay,IC50=47 µM,3 days,1
DCTPep00043,Jurkat,Childhood T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=100.0< µM,3 days,1
DCTPep00043,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,MTT assay,IC50=100.0< µM,3 days,1
DCTPep00043,MDA-MB-361,Breast adenocarcinoma,Carcinoma,MTT assay,IC50=100.0< µM,3 days,1
DCTPep00044,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,MTT assay,IC50=30 µM,3 days,1
DCTPep00044,Jurkat,Childhood T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=54 µM,3 days,1
DCTPep00044,MDA-MB-361,Breast adenocarcinoma,Carcinoma,MTT assay,IC50=83 µM,3 days,1
DCTPep00045,Jurkat,Childhood T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=100.0< µM,3 days,1
DCTPep00045,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,MTT assay,IC50=100.0< µM,3 days,1
DCTPep00045,MDA-MB-361,Breast adenocarcinoma,Carcinoma,MTT assay,IC50=100.0< µM,3 days,1
DCTPep00046,Jurkat,Childhood T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=100.0< µM,3 days,1
DCTPep00046,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,MTT assay,IC50=100.0< µM,3 days,1
DCTPep00046,MDA-MB-361,Breast adenocarcinoma,Carcinoma,MTT assay,IC50=100.0< µM,3 days,1
DCTPep00047,U-937/GTB,Adult acute monocytic leukemia; Acute monoblastic/monocytic leukemia,Leukemia,FMCA assay,IC50=1.8 µM,72h,1
DCTPep00047,ACHN,Papillary renal cell carcinoma,Carcinoma,FMCA assay,IC50=3.2 µM,72h,1
DCTPep00048,Hut-78,Sezary syndrome ,Lymphoma,Trypan blue assay,100% Killing=10 µM,Not available,1
DCTPep00048,U-937,Adult acute monocytic leukemi; Acute monoblastic/monocytic leukemia,Leukemia,Trypan blue assay,20% Killing=10 µM,Not available,1
DCTPep00048,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL9 positive; Chronic myeloid leukemia",Leukemia,Trypan blue assay,60% Killing=10 µM,Not available,1
DCTPep00049,HeLa,Human papillomavirus-related endocervical adenocarcinoma,Carcinoma,XTT assay,no cytotoxic effects up to 23 μM,24h,1
DCTPep00050,HeLa,Human papillomavirus-related endocervical adenocarcinoma,Carcinoma,XTT assay,no cytotoxic effects up to 23 μM,24h,1
DCTPep00051,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,Not available,lower doses of cancer cells could be eliminated after administration of 25 μg of alloferon,Not available,1
DCTPep00052,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,Not available,lower doses of cancer cells could be eliminated after administration of 25 μg of alloferon,Not available,1
DCTPep00053,HT-29,Colon adenocarcinoma,Carcinoma,MTT assay,IC50>404 µM,4 h,1
DCTPep00053,Meth A,Mouse fibrosarcoma,Sarcoma,MTT assay,IC50>404 µM,4 h,1
DCTPep00053,MT-1,Human mammary carcinoma,Carcinoma,MTT assay,IC50>404 µM,4 h,1
DCTPep00054,Meth A,Mouse fibrosarcoma,Sarcoma,MTT assay,IC50=144 µM,4 h,1
DCTPep00054,MT-1,Human mammary carcinoma,Carcinoma,MTT assay,IC50>254 µM,4 h,1
DCTPep00054,HT-29,Colon adenocarcinoma,Carcinoma,MTT assay,IC50>440 µM,4 h,1
DCTPep00055,HT-29,Colon adenocarcinoma,Carcinoma,MTT assay,IC50=141 µM,4 h,1
DCTPep00055,MT-1,Human mammary carcinoma,Carcinoma,MTT assay,IC50=18 µM,4 h,1
DCTPep00055,Meth A,Mouse fibrosarcoma,Sarcoma,MTT assay,IC50=32 µM,4 h,1
DCTPep00056,MT-1,Human mammary carcinoma,Carcinoma,MTT assay,IC50=16 µM,4 h,1
DCTPep00056,Meth A,Mouse fibrosarcoma,Sarcoma,MTT assay,IC50=31 µM,4 h,1
DCTPep00056,HT-29,Colon adenocarcinoma,Carcinoma,MTT assay,IC50=57 µM,4 h,1
DCTPep00057,HT-29,Colon adenocarcinoma,Carcinoma,MTT assay,IC50=14 µM,4 h,1
DCTPep00057,A549,Lung adenocarcinoma,Carcinoma,MTT assay,IC50=3 ± 1 μM(pH=7.4); IC50=4 ± 1 μM(pH=5.5),2 h,2
DCTPep00057,Meth A,Mouse fibrosarcoma,Sarcoma,MTT assay,IC50=6.6 µM,4 h,1
DCTPep00057,MT-1,Human mammary carcinoma,Carcinoma,MTT assay,IC50=8 µM,4 h,1
DCTPep00058,Meth A,Mouse fibrosarcoma,Sarcoma,MTT assay,IC50=11 µM,4 h,1
DCTPep00058,MT-1,Human mammary carcinoma,Carcinoma,MTT assay,IC50=12 µM,4 h,1
DCTPep00058,HT-29,Colon adenocarcinoma,Carcinoma,MTT assay,IC50=15 µM,4 h,1
DCTPep00059,MT-1,Human mammary carcinoma,Carcinoma,MTT assay,IC50=11 µM,4 h,1
DCTPep00059,HT-29,Colon adenocarcinoma,Carcinoma,MTT assay,IC50=16 µM,4 h,1
DCTPep00059,Meth A,Mouse fibrosarcoma,Sarcoma,MTT assay,IC50=16 µM,4 h,1
DCTPep00060,Meth A,Mouse fibrosarcoma,Sarcoma,MTT assay,IC50=110 µM,4 h,1
DCTPep00060,HT-29,Colon adenocarcinoma,Carcinoma,MTT assay,IC50=180 µM,4 h,1
DCTPep00060,MT-1,Human mammary carcinoma,Carcinoma,MTT assay,IC50=87 µM,4 h,1
DCTPep00061,MT-1,Human mammary carcinoma,Carcinoma,MTT assay,IC50=32 µM,4 h,1
DCTPep00061,Meth A,Mouse fibrosarcoma,Sarcoma,MTT assay,IC50=35 µM,4 h,1
DCTPep00061,HT-29,Colon adenocarcinoma,Carcinoma,MTT assay,IC50=52 µM,4 h,1
DCTPep00062,MT-1,Human mammary carcinoma,Carcinoma,MTT assay,IC50=20 µM,4 h,1
DCTPep00062,Meth A,Mouse fibrosarcoma,Sarcoma,MTT assay,IC50=24 µM,4 h,1
DCTPep00062,HT-29,Colon adenocarcinoma,Carcinoma,MTT assay,IC50=35 µM,4 h,1
DCTPep00063,Meth A,Mouse fibrosarcoma,Sarcoma,MTT assay,IC50=116 µM,4 h,1
